Year,Progeny,female,male,cross,r,DTA,PltHt
2014,2138,166_9,169_6,166_9x169_6,1,68,245
2014,2140,167_5,164_14,164_14x167_5,-1,NA,NA
2014,2143,168_5,171_7,168_5x171_7,1,88,260
2014,2144,170_2,170_6,170_2x170_6,1,79,260
2014,2145,170_4,171_5,170_4x171_5,1,67,230
2014,2146,165_4,166_11,165_4x166_11,1,74,245
2014,2149,171_9,170_2,170_2x171_9,-1,76,220
2014,2150,165_7,169_7,165_7x169_7,1,78,230
2014,2153,164_14,166_9,164_14x166_9,1,72,255
2014,2156,165_4,166_11,165_4x166_11,1,84,275
2014,2157,165_4,166_11,165_4x166_11,1,88,270
2014,2162,164_8,171_10,164_8x171_10,1,70,250
2014,2163,171_11,170_1,170_1x171_11,-1,81,290
2014,2164,164_4,165_4,164_4x165_4,1,84,265
2014,2165,167_5,164_14,164_14x167_5,-1,76,265
2014,2166,171_10,164_8,164_8x171_10,-1,73,230
2014,2167,164_8,169_12,164_8x169_12,1,69,200
2014,2169,170_11,170_2,170_11x170_2,1,85,265
2014,2175,164_14,164_1,164_1x164_14,-1,82,235
2014,2176,164_4,166_11,164_4x166_11,1,85,215
2014,2177,164_2,165_6,164_2x165_6,1,81,220
2014,2178,167_5,164_14,164_14x167_5,-1,80,240
2014,2179,171_4,171_7,171_4x171_7,1,69,245
2014,2181,168_5,171_4,168_5x171_4,1,81,230
2014,2183,167_8,171_10,167_8x171_10,1,80,250
2014,2184,165_4,166_11,165_4x166_11,1,80,245
2014,2186,171_6,167_1,167_1x171_6,-1,81,255
2014,2187,167_5,164_1,164_1x167_5,-1,83,225
2014,2188,167_3,165_4,165_4x167_3,-1,78,245
2014,2189,166_10,166_8,166_10x166_8,1,79,255
2014,2190,170_4,171_13,170_4x171_13,1,73,240
2014,2191,170_6,170_2,170_2x170_6,-1,75,245
2014,2192,171_4,171_7,171_4x171_7,1,77,250
2014,2193,167_5,164_1,164_1x167_5,-1,76,245
2014,2195,170_6,170_2,170_2x170_6,-1,88,240
2014,2197,171_5,170_7,170_7x171_5,-1,78,230
2014,2198,167_8,164_8,164_8x167_8,-1,75,275
2014,2199,164_14,164_1,164_1x164_14,-1,75,235
2014,2200,171_6,167_1,167_1x171_6,-1,79,255
2014,2201,166_9,169_6,166_9x169_6,1,70,220
