tree,female,male,cross,site,rep,col,row,HT05,VOL05
115,16,21,N,1,4,13,23,109.8,156.8
72,6,7,L,1,4,13,24,98.5,118
28,7,24,A,1,5,13,25,96.1,73.7
31,22,19,C,1,5,13,26,92.4,23.2
filler,0,0,,1,5,13,27,,
45,23,13,K,1,5,13,28,117.8,160.1
54,6,7,L,1,5,13,29,100.9,114.8
filler,0,0,,1,5,13,30,,
84,16,21,N,1,6,13,31,107,121.4
142,17,9,P,1,6,13,32,73.5,30.8
filler,0,0,,1,6,13,33,,
filler,0,0,,1,6,13,34,,
129,0,0,NP,1,6,13,35,92.4,80.2
145,24,1,Q,1,6,13,36,106.5,81.9
164,0,0,SP,1,7,13,37,95.2,98
56,6,7,L,1,7,13,38,89.1,32
54,6,7,L,1,7,13,39,100.9,126.6
47,23,13,K,1,7,13,40,96.6,104.8
55,6,7,L,1,7,13,41,115,149.7
116,16,21,N,1,7,13,42,103.7,129.9
filler,0,0,,1,8,13,43,,
79,16,21,N,1,8,13,44,87.2,75.7
filler,0,0,,1,8,13,45,,
